return_id,order_item_id,return_reason,return_date,refund_amount
620,19576,Damaged product,2026-05-03,529.8
621,19578,Quality issue,2026-05-05,1076.34
622,19580,Quality issue,2026-05-03,1990.56
623,19691,Damaged product,2026-04-28,244.66
624,19740,Quality issue,2026-03-08,350.34
625,19741,Wrong item delivered,2026-03-06,489.32
626,19739,Item expired,2026-03-06,1059.6
627,19825,Wrong item delivered,2026-02-11,1841.96
628,19823,Damaged product,2026-02-13,188.18
629,19851,Damaged product,2026-03-09,1248.12
630,19852,Changed mind,2026-03-08,1384.0
631,19850,Changed mind,2026-03-09,1018.92
632,19951,Damaged product,2026-02-23,355.67
633,19952,Changed mind,2026-02-24,235.89
634,19950,Changed mind,2026-02-23,1583.64
635,20194,Quality issue,2026-06-22,411.95
636,20236,Damaged product,2026-05-19,847.3
637,20271,Quality issue,2026-06-02,1322.2
638,20362,Item expired,2026-06-20,212.92
639,20361,Wrong item delivered,2026-06-18,497.64
640,20360,Damaged product,2026-06-21,415.24
641,20491,Quality issue,2026-02-24,766.14
642,20623,Wrong item delivered,2026-04-14,553.14
643,20622,Quality issue,2026-04-14,725.7
644,20655,Changed mind,2026-02-25,121.78

